name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Dirk Nowitzki","Dallas Mavericks",2017-12-06,2017,609,1610612742,400975107,4,10,10,0,"Jump Shot","3PT Field Goal",24,"Boston Celtics",100,226,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,2,8,08,0,"Jump Shot","3PT Field Goal",24,"Brooklyn Nets",19,246,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,1,8,59,1,"Jump Shot","3PT Field Goal",25,"Brooklyn Nets",2,251,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,3,10,43,0,"Jump Shot","3PT Field Goal",25,"Brooklyn Nets",-22,254,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,2,0,49,0,"Jump Shot","2PT Field Goal",21,"Brooklyn Nets",-41,208,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-11-29,2017,609,1610612742,400975061,2,0,05,1,"Jump Shot","3PT Field Goal",24,"Brooklyn Nets",61,240,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,3,9,24,0,"Jump Shot","3PT Field Goal",25,"Utah Jazz",207,146,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,4,10,00,1,"Jump Shot","2PT Field Goal",18,"Utah Jazz",81,165,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-04,2017,609,1610612742,400975692,1,10,16,1,"Jump Shot","2PT Field Goal",17,"New Orleans Pelicans",37,168,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,2,7,53,0,"Jump Shot","3PT Field Goal",25,"Utah Jazz",-9,256,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-22,2017,609,1610612742,400975822,3,11,49,0,"Jump Shot","2PT Field Goal",19,"Utah Jazz",11,194,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,1,8,34,1,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",11,255,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,1,0,43,0,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",132,220,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,3,11,05,1,"Jump Shot","3PT Field Goal",25,"Charlotte Hornets",38,253,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-23,2017,609,1610612742,400975235,3,1,45,1,"Jump Shot","3PT Field Goal",25,"Atlanta Hawks",-15,252,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-09,2017,609,1610612742,400975347,1,0,49,0,"Jump Shot","3PT Field Goal",25,"Orlando Magic",-3,258,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-01-10,2017,609,1610612742,400975349,2,8,45,0,"Jump Shot","2PT Field Goal",18,"Charlotte Hornets",57,174,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2018-03-04,2017,609,1610612742,400975692,4,11,02,1,"Jump Shot","3PT Field Goal",25,"New Orleans Pelicans",18,252,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,1,9,54,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",105,219,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,3,9,37,1,"Jump Shot","3PT Field Goal",26,"San Antonio Spurs",-121,232,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,1,7,16,1,"Jump Shot","2PT Field Goal",13,"San Antonio Spurs",-96,99,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,1,8,31,0,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",0,257,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,3,8,33,1,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",-57,241,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,2,11,46,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",13,247,0,0.00,,0.00,0.00
"Dirk Nowitzki","Dallas Mavericks",2017-12-16,2017,609,1610612742,400975186,3,2,07,1,"Jump Shot","2PT Field Goal",17,"San Antonio Spurs",3,175,0,0.00,,0.00,0.00
